"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"sp_11";"sp_12";"sp_13";"sp_14";"sp_15";"sp_16";"sp_17";"sp_18";"sp_19";"sp_20";"enviro";"enviro2";"env";"site"
"2162";0;0;0;0;0;2;0;3;1;6;0;8;5;2;2;3;3;3;2;0;0,0107769517307185;-0,0307437896676714;60,4610320413485;63
"2163";0;0;1;0;0;0;0;0;2;1;1;5;5;3;8;5;1;3;5;0;0,020712297763962;-0,0195323582841477;69,5627649081871;64
"2164";5;0;9;5;7;4;2;4;1;3;0;0;0;0;0;0;0;0;0;0;-0,0419131741919823;0,0255388686809309;12,1918072691187;65
"2165";6;0;3;3;8;4;1;2;3;3;2;2;1;1;1;0;0;0;0;0;-0,0322202794897418;0,000566747436215407;21,0714313900098;66
"2166";0;0;1;1;1;2;1;2;5;0;3;4;3;3;5;3;1;2;2;1;0,0106212789836009;-0,0308643568368446;60,3184208273888;67
"2167";0;0;0;0;1;0;0;0;1;2;1;5;3;2;6;5;3;6;3;2;0,0324697476044708;0,0026812869947004;80,3337201708928;68
"2168";0;0;2;1;1;2;0;5;4;8;0;7;5;1;1;0;0;0;3;0;-0,00683258984931859;-0,0336015997401304;44,3289977032691;69
"2169";5;0;7;6;1;8;1;5;3;3;0;0;1;0;0;0;0;0;0;0;-0,0390816906260599;0,0175625787588404;14,7857186384499;70
"2170";0;0;3;3;2;4;0;6;3;2;2;6;3;4;1;0;0;1;0;0;-0,00902657183571805;-0,0324336743120959;42,3190991161391;71
"2171";0;0;0;0;0;0;0;0;0;0;0;0;4;2;7;9;3;9;6;0;0,0486476247415766;0,0490983883207361;95,1542121358216;72
"2172";0;0;0;1;1;1;1;2;2;5;0;3;4;1;3;7;2;2;5;0;0,0125843471935803;-0,029219528447307;62,1167801786214;73
"2173";0;0;0;0;1;0;1;1;1;2;1;7;4;5;5;5;1;3;2;1;0,0188341680285858;-0,0221824932913678;67,8422173717991;74
"2174";0;0;0;0;1;0;0;1;4;5;1;6;6;5;5;2;0;2;2;0;0,0126664475167282;-0,0291448481973249;62,1919919736683;75
